ID_sample,Breed,Diet,Weight (kg),Weight month,Loin weight 1,Loin weight 2,WHC
Sample 1,IB,1,98.5,10,,,
Sample 1,IB,1,120.1,13,2.19,2.40,21.504
Sample 2,DU,1,99.9,10,,,
Sample 2,DU,1,135.4,13,2.28,2.24,23.734
Sample 3,IB,1,100.4,10,,,
Sample 3,IB,1,133.2,13,2.29,2.36,20.632
Sample 4,IB,1,98.8,10,,,
Sample 4,IB,1,129.4,13,2.26,2.40,24.609
Sample 5,DU,1,101.1,10,,,
Sample 5,DU,1,136.6,13,1.95,1.89,24.204
Sample 6,DU,1,98.9,10,,,
Sample 6,DU,1,133.3,13,2.53,2.46,25.259
Sample 7,IB,2,97.1,10,,,
Sample 7,IB,2,129.8,13,1.97,2.15,22.235
Sample 8,DU,2,102,10,,,
Sample 8,DU,2,137.8,13,2.03,2.01,21.941
Sample 9,IB,2,95.2,10,,,
Sample 9,IB,2,122.2,13,1.79,1.86,19.396
Sample 10,DU,2,102.5,10,,,
Sample 10,DU,2,139.1,13,2.31,2.23,26.219
Sample 11,DU,2,99.5,10,,,
Sample 11,DU,2,135.7,13,2.08,2.22,30.006
Sample 12,IB,2,100,10,,,
Sample 12,IB,2,130.3,13,2.04,1.96,24.702
